,team,date,win,loss,ot,points,RW,ROW,SOW,goals,goals_against,power_play,penalty_kill,net_ppp,net_pkp,shots,shots_against,FOWp
0,Anaheim Ducks,2022/11/21@ STL,0,1,0,0,0,0,0,1,3,0.0,66.7,0.0,66.7,28.0,27.0,38.0
1,Anaheim Ducks,2021/12/01vs VGK,1,0,0,2,1,1,0,6,5,0.0,50.0,-66.7,75.0,34.0,39.0,37.7
2,Anaheim Ducks,2024/03/14@ MIN,0,1,0,0,0,0,0,0,2,0.0,100.0,0.0,100.0,16.0,31.0,45.5
3,Anaheim Ducks,2023/01/26@ COL,1,0,0,2,1,1,0,5,3,0.0,50.0,0.0,50.0,32.0,44.0,45.2
4,Anaheim Ducks,2023/01/13vs NJD,0,1,0,0,0,0,0,2,6,25.0,50.0,25.0,50.0,33.0,39.0,42.3
5,Anaheim Ducks,2024/01/20@ SJS,0,1,0,0,0,0,0,3,5,33.3,100.0,33.3,100.0,34.0,19.0,50.9
6,Anaheim Ducks,2021/11/02vs NJD,1,0,0,2,1,1,0,4,0,28.6,100.0,28.6,120.0,27.0,28.0,51.1
7,Anaheim Ducks,2023/10/19vs DAL,0,1,0,0,0,0,0,2,3,0.0,60.0,0.0,60.0,29.0,24.0,36.5
8,Anaheim Ducks,2021/11/16vs WSH,1,0,0,2,0,1,0,3,2,0.0,--,0.0,--,31.0,30.0,67.3
9,Anaheim Ducks,2023/04/09vs COL,0,0,1,1,0,0,0,4,5,0.0,62.5,0.0,62.5,23.0,46.0,47.8
10,Anaheim Ducks,2023/11/24vs LAK,0,1,0,0,0,0,0,2,5,50.0,33.3,50.0,33.3,31.0,31.0,50.9
11,Anaheim Ducks,2022/01/15@ CHI,0,1,0,0,0,0,0,0,3,0.0,66.7,0.0,66.7,37.0,36.0,41.3
12,Anaheim Ducks,2021/10/15vs MIN,0,1,0,0,0,0,0,1,2,25.0,80.0,25.0,80.0,29.0,43.0,53.9
13,Anaheim Ducks,2023/04/05vs EDM,0,1,0,0,0,0,0,1,3,0.0,100.0,0.0,100.0,28.0,33.0,41.5
14,Anaheim Ducks,2021/12/11@ PIT,0,1,0,0,0,0,0,0,1,0.0,100.0,0.0,100.0,33.0,29.0,45.5
15,Anaheim Ducks,2021/11/26vs OTT,1,0,0,2,1,1,0,4,0,33.3,100.0,33.3,100.0,33.0,34.0,46.2
16,Anaheim Ducks,2022/01/11vs PIT,0,1,0,0,0,0,0,1,4,0.0,66.7,0.0,66.7,26.0,34.0,34.6
17,Anaheim Ducks,2024/01/27@ MIN,1,0,0,2,1,1,0,3,2,0.0,100.0,0.0,100.0,25.0,37.0,50.9
18,Anaheim Ducks,2024/01/09@ NSH,1,0,0,2,1,1,0,5,3,33.3,100.0,0.0,100.0,33.0,42.0,51.4
19,Anaheim Ducks,2023/12/21vs CGY,0,1,0,0,0,0,0,0,3,0.0,85.7,0.0,85.7,25.0,44.0,50.0
20,Anaheim Ducks,2024/02/21vs CBJ,0,1,0,0,0,0,0,4,7,0.0,100.0,-25.0,100.0,31.0,27.0,53.2
21,Anaheim Ducks,2021/12/09@ CBJ,1,0,0,2,0,0,1,1,1,0.0,100.0,0.0,100.0,26.0,34.0,51.7
22,Anaheim Ducks,2023/12/15@ NYR,0,1,0,0,0,0,0,1,5,0.0,66.7,0.0,66.7,30.0,39.0,47.5
23,Anaheim Ducks,2021/12/31@ VGK,0,1,0,0,0,0,0,1,3,100.0,100.0,100.0,100.0,16.0,45.0,49.1
24,Anaheim Ducks,2022/03/12@ NJD,0,0,1,1,0,0,0,1,1,0.0,100.0,0.0,100.0,34.0,40.0,59.6
25,Anaheim Ducks,2021/11/09@ VAN,1,0,0,2,0,1,0,3,2,25.0,100.0,0.0,100.0,30.0,43.0,41.3
26,Anaheim Ducks,2023/03/01vs WSH,0,0,1,1,0,0,0,2,3,0.0,100.0,0.0,100.0,23.0,39.0,54.2
27,Anaheim Ducks,2022/04/06vs CGY,0,1,0,0,0,0,0,2,4,33.3,100.0,33.3,100.0,28.0,28.0,46.7
28,Anaheim Ducks,2023/04/11vs VAN,0,1,0,0,0,0,0,2,3,20.0,50.0,20.0,50.0,35.0,36.0,55.4
29,Anaheim Ducks,2022/12/28vs VGK,1,0,0,2,0,0,1,2,2,0.0,100.0,-20.0,100.0,27.0,51.0,42.4
30,Anaheim Ducks,2023/02/10vs PIT,0,1,0,0,0,0,0,3,6,50.0,75.0,50.0,75.0,31.0,59.0,45.5
31,Anaheim Ducks,2022/03/13@ NYI,0,1,0,0,0,0,0,3,4,0.0,100.0,0.0,100.0,42.0,29.0,44.6
32,Anaheim Ducks,2021/11/18vs CAR,0,1,0,0,0,0,0,1,2,0.0,100.0,0.0,100.0,32.0,31.0,45.9
33,Anaheim Ducks,2023/02/25@ CAR,1,0,0,2,1,1,0,3,2,0.0,100.0,0.0,100.0,16.0,53.0,50.8
34,Anaheim Ducks,2023/01/08vs BOS,0,1,0,0,0,0,0,1,7,0.0,50.0,0.0,50.0,29.0,42.0,46.4
35,Anaheim Ducks,2021/11/28vs TOR,0,1,0,0,0,0,0,1,5,0.0,100.0,0.0,100.0,40.0,31.0,62.2
36,Anaheim Ducks,2023/10/24@ CBJ,1,0,0,2,0,1,0,3,2,0.0,85.7,0.0,85.7,27.0,37.0,61.4
37,Anaheim Ducks,2023/11/17vs FLA,0,1,0,0,0,0,0,1,2,33.3,100.0,33.3,100.0,35.0,35.0,46.0
38,Anaheim Ducks,2024/02/17@ TOR,0,1,0,0,0,0,0,2,9,33.3,20.0,33.3,20.0,21.0,32.0,44.4
39,Anaheim Ducks,2021/12/29vs VAN,0,0,1,1,0,0,0,1,2,0.0,100.0,0.0,100.0,23.0,37.0,49.1
40,Anaheim Ducks,2023/11/15@ COL,0,1,0,0,0,0,0,2,8,0.0,75.0,0.0,75.0,17.0,38.0,55.0
41,Anaheim Ducks,2021/12/06@ WSH,0,0,1,1,0,0,0,3,3,0.0,100.0,0.0,100.0,34.0,29.0,50.9
42,Anaheim Ducks,2022/03/31vs DAL,0,0,1,1,0,0,0,2,3,0.0,0.0,0.0,0.0,23.0,35.0,39.7
43,Anaheim Ducks,2022/11/17@ WPG,0,1,0,0,0,0,0,2,3,0.0,50.0,0.0,50.0,31.0,32.0,41.5
44,Anaheim Ducks,2023/12/29vs ARI,0,1,0,0,0,0,0,0,2,0.0,66.7,0.0,66.7,28.0,32.0,58.7
45,Anaheim Ducks,2021/10/26vs WPG,0,1,0,0,0,0,0,3,4,0.0,100.0,0.0,100.0,35.0,25.0,45.8
46,Anaheim Ducks,2024/01/15@ FLA,1,0,0,2,0,1,0,5,4,0.0,50.0,-20.0,75.0,26.0,33.0,38.1
47,Anaheim Ducks,2023/10/26@ BOS,1,0,0,2,0,1,0,4,3,0.0,66.7,0.0,66.7,32.0,30.0,47.5
48,Anaheim Ducks,2022/10/12vs SEA,1,0,0,2,0,1,0,5,4,66.7,40.0,66.7,40.0,27.0,48.0,57.1
49,Anaheim Ducks,2023/01/21@ BUF,0,1,0,0,0,0,0,3,6,0.0,50.0,0.0,50.0,37.0,39.0,50.9
50,Anaheim Ducks,2023/03/10@ CGY,1,0,0,2,1,1,0,3,1,--,50.0,--,50.0,18.0,37.0,38.1
51,Anaheim Ducks,2022/02/17@ EDM,0,1,0,0,0,0,0,3,7,66.7,75.0,66.7,75.0,30.0,41.0,49.1
52,Anaheim Ducks,2024/03/03vs VAN,0,1,0,0,0,0,0,1,2,0.0,100.0,0.0,100.0,18.0,31.0,37.2
53,Anaheim Ducks,2023/01/16@ PIT,0,0,1,1,0,0,0,3,4,50.0,100.0,50.0,100.0,29.0,45.0,43.1
54,Anaheim Ducks,2023/11/10vs PHI,0,1,0,0,0,0,0,3,6,33.3,100.0,33.3,100.0,38.0,36.0,50.8
55,Anaheim Ducks,2024/02/09vs EDM,0,1,0,0,0,0,0,3,5,100.0,50.0,100.0,50.0,27.0,32.0,47.1
56,Anaheim Ducks,2024/03/19vs MIN,0,1,0,0,0,0,0,0,4,0.0,80.0,0.0,80.0,27.0,32.0,33.3
57,Anaheim Ducks,2022/11/09vs MIN,0,1,0,0,0,0,0,1,4,0.0,66.7,0.0,66.7,32.0,39.0,50.0
58,Anaheim Ducks,2023/02/12@ VGK,0,1,0,0,0,0,0,2,7,0.0,100.0,0.0,100.0,25.0,39.0,41.2
59,Anaheim Ducks,2023/02/06@ DAL,0,0,1,1,0,0,0,2,2,25.0,100.0,25.0,100.0,34.0,41.0,34.5
60,Anaheim Ducks,2024/01/25@ DAL,0,0,1,1,0,0,0,3,4,--,100.0,--,100.0,21.0,44.0,40.8
61,Anaheim Ducks,2023/12/27vs VGK,1,0,0,2,1,1,0,5,2,0.0,80.0,0.0,80.0,26.0,32.0,45.8
62,Anaheim Ducks,2023/11/19vs STL,0,1,0,0,0,0,0,1,3,0.0,83.3,0.0,83.3,31.0,32.0,40.8
63,Anaheim Ducks,2022/03/01vs BOS,1,0,0,2,1,1,0,4,3,66.7,100.0,66.7,100.0,28.0,34.0,50.9
64,Anaheim Ducks,2022/03/06vs SJS,1,0,0,2,0,1,0,3,2,0.0,100.0,0.0,100.0,36.0,22.0,61.8
65,Anaheim Ducks,2023/02/21@ TBL,0,1,0,0,0,0,0,1,6,0.0,60.0,0.0,60.0,25.0,44.0,38.2
66,Anaheim Ducks,2024/02/15@ OTT,1,0,0,2,1,1,0,5,1,100.0,100.0,100.0,100.0,20.0,34.0,54.2
67,Anaheim Ducks,2021/12/03vs CGY,0,0,1,1,0,0,0,3,3,33.3,100.0,33.3,100.0,34.0,36.0,55.2
68,Anaheim Ducks,2023/01/28vs ARI,1,0,0,2,0,1,0,2,1,0.0,100.0,0.0,100.0,45.0,34.0,44.3
69,Anaheim Ducks,2023/02/20@ FLA,0,0,1,1,0,0,0,3,4,50.0,100.0,50.0,100.0,32.0,55.0,46.8
70,Anaheim Ducks,2022/01/31@ DET,0,0,1,1,0,0,0,1,2,--,100.0,--,100.0,15.0,28.0,40.4
71,Anaheim Ducks,2023/03/12vs NSH,0,0,1,1,0,0,0,4,5,0.0,0.0,0.0,0.0,37.0,36.0,39.6
72,Anaheim Ducks,2023/03/25vs STL,0,1,0,0,0,0,0,3,6,20.0,100.0,20.0,100.0,25.0,36.0,57.6
73,Anaheim Ducks,2024/01/05vs WPG,0,1,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,38.0,27.0,61.1
74,Anaheim Ducks,2022/10/23@ DET,0,1,0,0,0,0,0,1,5,0.0,40.0,0.0,40.0,33.0,41.0,50.8
75,Anaheim Ducks,2021/11/22@ NSH,0,1,0,0,0,0,0,2,3,0.0,75.0,0.0,75.0,31.0,35.0,50.9
76,Anaheim Ducks,2024/02/29@ SJS,1,0,0,2,1,1,0,6,4,40.0,50.0,40.0,66.7,30.0,28.0,46.5
77,Anaheim Ducks,2021/10/31vs MTL,1,0,0,2,1,1,0,4,2,33.3,75.0,33.3,75.0,26.0,18.0,71.4
78,Anaheim Ducks,2023/12/10vs WPG,0,1,0,0,0,0,0,2,4,50.0,100.0,50.0,100.0,26.0,31.0,53.5
79,Anaheim Ducks,2021/12/12@ STL,1,0,0,2,0,1,0,3,2,0.0,100.0,0.0,100.0,39.0,25.0,56.3
80,Anaheim Ducks,2021/11/05vs ARI,1,0,0,2,1,1,0,3,1,25.0,100.0,25.0,100.0,31.0,29.0,56.7
81,Anaheim Ducks,2022/10/18@ NJD,0,1,0,0,0,0,0,2,4,0.0,100.0,0.0,100.0,20.0,41.0,46.3
82,Anaheim Ducks,2023/11/05vs VGK,1,0,0,2,1,1,0,4,2,50.0,100.0,50.0,100.0,23.0,32.0,54.0
83,Anaheim Ducks,2022/01/21vs TBL,1,0,0,2,1,1,0,5,1,20.0,100.0,20.0,114.3,35.0,33.0,43.8
84,Anaheim Ducks,2023/12/05@ COL,0,1,0,0,0,0,0,2,3,33.3,100.0,33.3,133.3,33.0,30.0,46.2
85,Anaheim Ducks,2024/03/21vs CHI,1,0,0,2,1,1,0,4,0,20.0,100.0,20.0,100.0,25.0,29.0,58.3
86,Anaheim Ducks,2023/01/06vs SJS,1,0,0,2,0,1,0,5,4,0.0,100.0,0.0,100.0,29.0,41.0,62.5
87,Anaheim Ducks,2022/11/27vs SEA,0,1,0,0,0,0,0,4,5,75.0,50.0,75.0,50.0,29.0,25.0,58.6
88,Anaheim Ducks,2022/03/15@ NYR,0,0,1,1,0,0,0,3,4,33.3,50.0,33.3,50.0,23.0,38.0,48.1
89,Anaheim Ducks,2023/11/07vs PIT,0,1,0,0,0,0,0,0,2,0.0,100.0,0.0,100.0,31.0,36.0,47.0
90,Anaheim Ducks,2024/01/16@ WSH,0,1,0,0,0,0,0,0,2,0.0,100.0,0.0,100.0,24.0,28.0,57.8
91,Anaheim Ducks,2023/03/27vs COL,0,1,0,0,0,0,0,1,5,0.0,66.7,0.0,66.7,30.0,44.0,53.6
92,Anaheim Ducks,2023/01/19@ CBJ,1,0,0,2,1,1,0,5,3,0.0,100.0,0.0,100.0,33.0,33.0,52.7
93,Anaheim Ducks,2021/11/24@ COL,0,1,0,0,0,0,0,2,5,66.7,85.7,66.7,85.7,26.0,36.0,43.5
94,Anaheim Ducks,2021/10/28vs BUF,0,0,1,1,0,0,0,3,4,0.0,50.0,0.0,50.0,37.0,29.0,64.0
95,Anaheim Ducks,2022/11/01@ SJS,1,0,0,2,0,0,1,5,5,0.0,66.7,0.0,66.7,44.0,44.0,55.4
96,Anaheim Ducks,2021/11/07vs STL,1,0,0,2,1,1,0,4,1,50.0,100.0,50.0,100.0,27.0,35.0,43.1
97,Anaheim Ducks,2021/10/19@ EDM,0,1,0,0,0,0,0,5,6,0.0,66.7,0.0,66.7,36.0,37.0,41.9
98,Anaheim Ducks,2022/11/19@ STL,0,1,0,0,0,0,0,2,6,50.0,50.0,50.0,50.0,32.0,34.0,51.7
99,Anaheim Ducks,2023/10/22vs BOS,0,1,0,0,0,0,0,1,3,0.0,100.0,0.0,100.0,31.0,26.0,50.0
100,Anaheim Ducks,2022/02/27vs NYI,0,1,0,0,0,0,0,0,4,0.0,100.0,0.0,100.0,34.0,22.0,47.2
101,Anaheim Ducks,2024/01/13@ TBL,0,1,0,0,0,0,0,1,5,33.3,0.0,33.3,0.0,20.0,41.0,50.0
102,Anaheim Ducks,2023/11/12vs SJS,1,0,0,2,1,1,0,4,1,40.0,100.0,40.0,100.0,44.0,26.0,54.6
103,Anaheim Ducks,2022/03/18vs FLA,0,1,0,0,0,0,0,0,3,0.0,80.0,0.0,80.0,17.0,42.0,45.5
104,Anaheim Ducks,2021/10/18@ CGY,1,0,0,2,0,1,0,3,2,50.0,100.0,50.0,100.0,27.0,43.0,46.2
105,Anaheim Ducks,2023/12/02vs COL,1,0,0,2,0,0,1,3,3,66.7,100.0,66.7,100.0,37.0,37.0,55.1
106,Anaheim Ducks,2022/03/29vs DAL,0,1,0,0,0,0,0,2,3,0.0,100.0,0.0,100.0,28.0,32.0,41.7
107,Anaheim Ducks,2022/04/12@ FLA,0,0,1,1,0,0,0,2,3,0.0,66.7,0.0,66.7,24.0,55.0,37.7
108,Anaheim Ducks,2022/03/26@ SJS,0,1,0,0,0,0,0,1,4,0.0,66.7,0.0,66.7,28.0,24.0,57.1
109,Anaheim Ducks,2023/01/02vs PHI,0,1,0,0,0,0,0,1,4,0.0,100.0,0.0,100.0,29.0,33.0,46.8
110,Anaheim Ducks,2024/01/23vs BUF,1,0,0,2,1,1,0,4,2,25.0,66.7,25.0,66.7,36.0,30.0,51.0
111,Anaheim Ducks,2022/04/17vs CBJ,1,0,0,2,1,1,0,6,4,0.0,100.0,0.0,100.0,32.0,35.0,40.4
112,Anaheim Ducks,2022/12/04@ WPG,0,1,0,0,0,0,0,2,5,0.0,75.0,0.0,75.0,30.0,40.0,47.4
113,Anaheim Ducks,2022/10/30vs TOR,1,0,0,2,0,1,0,4,3,0.0,50.0,-50.0,50.0,39.0,36.0,50.9
114,Anaheim Ducks,2022/01/29@ OTT,1,0,0,2,1,1,0,2,1,0.0,100.0,0.0,100.0,20.0,45.0,52.9
115,Anaheim Ducks,2022/12/20@ LAK,0,1,0,0,0,0,0,1,4,20.0,80.0,20.0,80.0,25.0,41.0,37.5
116,Anaheim Ducks,2022/10/26vs TBL,0,1,0,0,0,0,0,2,4,0.0,66.7,0.0,66.7,21.0,30.0,54.7
117,Anaheim Ducks,2023/10/30@ PIT,1,0,0,2,1,1,0,4,3,33.3,71.4,33.3,85.7,27.0,42.0,29.5
118,Anaheim Ducks,2022/10/15@ NYI,0,1,0,0,0,0,0,1,7,0.0,100.0,0.0,100.0,23.0,38.0,43.1
119,Anaheim Ducks,2022/03/23vs CHI,0,1,0,0,0,0,0,2,4,0.0,33.3,0.0,33.3,29.0,28.0,49.2
120,Anaheim Ducks,2022/01/08vs NYR,0,1,0,0,0,0,0,1,4,0.0,100.0,0.0,100.0,14.0,40.0,50.0
121,Anaheim Ducks,2023/11/22vs MTL,0,1,0,0,0,0,0,3,4,100.0,100.0,100.0,100.0,33.0,28.0,50.9
122,Anaheim Ducks,2024/02/25vs NSH,0,1,0,0,0,0,0,2,4,0.0,100.0,0.0,100.0,31.0,29.0,46.3
123,Anaheim Ducks,2023/11/28@ VAN,0,1,0,0,0,0,0,1,3,33.3,75.0,33.3,75.0,31.0,27.0,45.7
124,Anaheim Ducks,2023/12/17@ NJD,1,0,0,2,1,1,0,5,1,20.0,100.0,20.0,120.0,28.0,29.0,43.4
125,Anaheim Ducks,2023/03/03vs MTL,1,0,0,2,1,1,0,3,2,66.7,100.0,66.7,100.0,33.0,28.0,46.3
126,Anaheim Ducks,2022/11/29@ NSH,0,0,1,1,0,0,0,1,2,--,100.0,--,100.0,35.0,41.0,41.8
127,Anaheim Ducks,2023/12/07@ CHI,0,1,0,0,0,0,0,0,1,0.0,75.0,0.0,75.0,37.0,25.0,52.8
128,Anaheim Ducks,2024/03/12@ CHI,0,1,0,0,0,0,0,2,7,0.0,33.3,0.0,50.0,29.0,31.0,34.6
129,Anaheim Ducks,2022/12/06vs CAR,1,0,0,2,0,1,0,4,3,0.0,100.0,0.0,100.0,30.0,37.0,44.3
130,Anaheim Ducks,2023/10/14@ VGK,0,1,0,0,0,0,0,1,4,0.0,66.7,0.0,66.7,23.0,38.0,48.2
131,Anaheim Ducks,2022/01/24@ BOS,1,0,0,2,1,1,0,5,3,33.3,50.0,33.3,100.0,27.0,26.0,41.4
132,Anaheim Ducks,2024/02/19@ BUF,1,0,0,2,1,1,0,4,3,0.0,50.0,0.0,50.0,14.0,37.0,58.7
133,Anaheim Ducks,2024/03/24vs TBL,0,0,1,1,0,0,0,2,3,0.0,100.0,0.0,100.0,32.0,27.0,45.3
134,Anaheim Ducks,2022/12/13@ TOR,0,1,0,0,0,0,0,0,7,0.0,100.0,0.0,100.0,28.0,42.0,42.2
135,Anaheim Ducks,2023/02/15vs BUF,0,1,0,0,0,0,0,3,7,0.0,80.0,0.0,80.0,22.0,44.0,57.9
136,Anaheim Ducks,2022/01/04vs PHI,1,0,0,2,1,1,0,4,1,50.0,100.0,50.0,100.0,30.0,29.0,47.5
137,Anaheim Ducks,2022/11/03@ VAN,0,1,0,0,0,0,0,5,8,66.7,33.3,33.3,33.3,31.0,47.0,39.7
138,Anaheim Ducks,2023/11/30vs WSH,0,1,0,0,0,0,0,4,5,0.0,66.7,0.0,66.7,32.0,26.0,54.8
139,Anaheim Ducks,2023/03/08@ VAN,0,0,1,1,0,0,0,2,3,0.0,--,-50.0,--,22.0,34.0,42.6
140,Anaheim Ducks,2022/03/21vs NSH,0,1,0,0,0,0,0,3,6,0.0,40.0,0.0,40.0,29.0,31.0,48.2
141,Anaheim Ducks,2022/04/26@ SJS,1,0,0,2,1,1,0,5,2,50.0,66.7,50.0,66.7,31.0,33.0,51.9
142,Anaheim Ducks,2022/04/14@ TBL,0,0,1,1,0,0,0,3,4,0.0,100.0,0.0,100.0,26.0,31.0,48.1
143,Anaheim Ducks,2022/04/24vs STL,0,1,0,0,0,0,0,3,6,0.0,100.0,0.0,100.0,17.0,37.0,41.3
144,Anaheim Ducks,2023/10/15vs CAR,1,0,0,2,1,1,0,6,3,0.0,66.7,0.0,66.7,25.0,35.0,50.0
145,Anaheim Ducks,2021/12/07@ BUF,1,0,0,2,1,1,0,2,0,0.0,100.0,0.0,100.0,23.0,25.0,51.0
146,Anaheim Ducks,2022/03/10@ NSH,0,1,0,0,0,0,0,1,4,0.0,50.0,0.0,50.0,28.0,30.0,52.5
147,Anaheim Ducks,2021/10/29@ VGK,0,0,1,1,0,0,0,4,4,0.0,--,0.0,--,38.0,42.0,50.0
148,Anaheim Ducks,2021/10/21@ WPG,0,1,0,0,0,0,0,1,5,33.3,50.0,33.3,50.0,39.0,27.0,52.0
149,Anaheim Ducks,2022/03/04vs VGK,0,1,0,0,0,0,0,4,5,50.0,100.0,50.0,100.0,24.0,35.0,51.5
150,Anaheim Ducks,2021/12/15vs SEA,1,0,0,2,1,1,0,4,1,50.0,75.0,50.0,100.0,24.0,20.0,55.0
151,Anaheim Ducks,2022/12/17@ EDM,1,0,0,2,1,1,0,4,3,50.0,66.7,50.0,66.7,17.0,49.0,56.7
152,Anaheim Ducks,2022/12/30vs NSH,0,1,0,0,0,0,0,1,6,0.0,0.0,0.0,0.0,27.0,43.0,48.9
153,Anaheim Ducks,2023/10/21@ ARI,0,1,0,0,0,0,0,1,2,33.3,80.0,33.3,80.0,33.0,27.0,40.9
154,Anaheim Ducks,2023/03/15vs NYI,0,1,0,0,0,0,0,3,6,50.0,100.0,50.0,100.0,23.0,33.0,45.7
155,Anaheim Ducks,2022/01/19vs COL,0,1,0,0,0,0,0,0,2,0.0,100.0,0.0,100.0,34.0,28.0,53.9
156,Anaheim Ducks,2023/11/01vs ARI,1,0,0,2,0,1,0,4,3,50.0,100.0,50.0,100.0,29.0,35.0,41.8
157,Anaheim Ducks,2023/12/23vs SEA,0,1,0,0,0,0,0,2,3,33.3,0.0,33.3,0.0,34.0,22.0,62.5
158,Anaheim Ducks,2023/04/02@ CGY,0,1,0,0,0,0,0,4,5,0.0,50.0,0.0,50.0,22.0,41.0,46.4
159,Anaheim Ducks,2022/01/02@ COL,0,1,0,0,0,0,0,2,4,50.0,60.0,50.0,60.0,31.0,36.0,50.0
160,Anaheim Ducks,2022/12/12@ OTT,0,1,0,0,0,0,0,0,3,0.0,50.0,0.0,50.0,32.0,38.0,41.3
161,Anaheim Ducks,2023/10/28@ PHI,1,0,0,2,1,1,0,7,4,100.0,75.0,100.0,100.0,25.0,30.0,37.5
162,Anaheim Ducks,2021/12/17vs ARI,0,0,1,1,0,0,0,5,6,40.0,75.0,40.0,75.0,37.0,27.0,51.6
163,Anaheim Ducks,2024/03/30@ EDM,0,1,0,0,0,0,0,1,6,50.0,66.7,50.0,66.7,22.0,37.0,36.2
164,Anaheim Ducks,2022/12/23vs CGY,0,0,1,1,0,0,0,2,3,40.0,100.0,40.0,100.0,23.0,45.0,43.1
165,Anaheim Ducks,2022/12/15@ MTL,1,0,0,2,1,1,0,5,2,50.0,75.0,50.0,75.0,32.0,25.0,49.1
166,Anaheim Ducks,2023/02/27vs CHI,1,0,0,2,1,1,0,4,2,20.0,50.0,20.0,50.0,33.0,26.0,53.6
167,Anaheim Ducks,2024/03/17@ STL,0,1,0,0,0,0,0,2,4,0.0,50.0,0.0,50.0,28.0,27.0,33.3
168,Anaheim Ducks,2022/02/16@ CGY,0,1,0,0,0,0,0,2,6,0.0,60.0,0.0,80.0,28.0,43.0,45.0
169,Anaheim Ducks,2022/12/01@ DAL,0,1,0,0,0,0,0,0,5,0.0,50.0,0.0,50.0,31.0,41.0,35.9
170,Anaheim Ducks,2023/03/19vs VAN,0,1,0,0,0,0,0,1,2,0.0,75.0,0.0,75.0,18.0,40.0,42.2
171,Anaheim Ducks,2024/02/24@ LAK,0,0,1,1,0,0,0,2,2,50.0,50.0,50.0,75.0,24.0,50.0,32.1
172,Anaheim Ducks,2022/11/23vs NYR,1,0,0,2,1,1,0,3,2,0.0,100.0,0.0,100.0,22.0,43.0,52.2
173,Anaheim Ducks,2022/10/17@ NYR,0,1,0,0,0,0,0,4,6,0.0,25.0,0.0,25.0,22.0,43.0,48.3
174,Anaheim Ducks,2023/11/14@ NSH,1,0,0,2,1,1,0,3,2,0.0,80.0,0.0,80.0,20.0,30.0,50.0
175,Anaheim Ducks,2022/01/27@ MTL,1,0,0,2,1,1,0,5,4,50.0,50.0,50.0,50.0,24.0,40.0,43.1
176,Anaheim Ducks,2022/11/12vs CHI,0,1,0,0,0,0,0,2,3,0.0,100.0,0.0,100.0,41.0,22.0,37.1
177,Anaheim Ducks,2022/04/19vs LAK,0,1,0,0,0,0,0,1,2,25.0,100.0,25.0,100.0,30.0,28.0,49.0
178,Anaheim Ducks,2022/04/29@ DAL,0,1,0,0,0,0,0,2,4,0.0,50.0,0.0,50.0,21.0,19.0,29.8
179,Anaheim Ducks,2024/03/10vs NYI,0,1,0,0,0,0,0,1,6,0.0,80.0,0.0,80.0,23.0,19.0,44.9
180,Anaheim Ducks,2023/01/24@ ARI,1,0,0,2,1,1,0,5,2,33.3,75.0,33.3,75.0,43.0,39.0,49.2
181,Anaheim Ducks,2023/12/31vs EDM,0,1,0,0,0,0,0,2,7,0.0,100.0,0.0,100.0,30.0,39.0,45.8
182,Anaheim Ducks,2023/12/18@ DET,1,0,0,2,1,1,0,4,3,33.3,71.4,33.3,71.4,22.0,32.0,44.6
183,Anaheim Ducks,2024/01/03vs TOR,0,0,1,1,0,0,0,1,2,0.0,80.0,0.0,100.0,28.0,57.0,40.9
184,Anaheim Ducks,2022/11/25vs OTT,0,1,0,0,0,0,0,1,5,0.0,62.5,0.0,62.5,32.0,33.0,43.7
185,Anaheim Ducks,2023/02/17vs LAK,0,1,0,0,0,0,0,3,6,50.0,25.0,50.0,25.0,27.0,41.0,30.8
186,Anaheim Ducks,2023/12/13@ NYI,0,1,0,0,0,0,0,3,4,50.0,75.0,0.0,75.0,24.0,35.0,48.5
187,Anaheim Ducks,2022/12/03@ MIN,0,0,1,1,0,0,0,4,4,66.7,50.0,66.7,50.0,33.0,49.0,46.9
188,Anaheim Ducks,2021/11/11@ SEA,1,0,0,2,1,1,0,7,4,0.0,100.0,0.0,100.0,36.0,25.0,48.1
189,Anaheim Ducks,2023/04/01@ EDM,0,1,0,0,0,0,0,0,6,0.0,66.7,-33.3,66.7,36.0,45.0,49.2
190,Anaheim Ducks,2022/04/10@ CAR,0,1,0,0,0,0,0,2,5,0.0,100.0,0.0,100.0,25.0,43.0,50.9
191,Anaheim Ducks,2024/02/13@ MTL,0,1,0,0,0,0,0,0,5,0.0,66.7,0.0,66.7,13.0,38.0,49.0
192,Anaheim Ducks,2024/01/07vs DET,0,1,0,0,0,0,0,2,3,0.0,80.0,0.0,80.0,31.0,28.0,45.3
193,Anaheim Ducks,2022/04/03vs EDM,0,1,0,0,0,0,0,1,6,0.0,50.0,0.0,50.0,32.0,46.0,52.6
194,Anaheim Ducks,2023/11/26@ EDM,0,1,0,0,0,0,0,2,8,0.0,66.7,0.0,66.7,23.0,26.0,50.9
195,Anaheim Ducks,2022/03/08@ CHI,0,1,0,0,0,0,0,3,8,25.0,100.0,0.0,100.0,32.0,32.0,44.0
196,Anaheim Ducks,2023/02/23@ WSH,1,0,0,2,1,1,0,4,2,0.0,66.7,0.0,66.7,21.0,43.0,50.0
197,Anaheim Ducks,2022/12/09vs SJS,0,1,0,0,0,0,0,1,6,0.0,75.0,0.0,75.0,24.0,28.0,48.4
198,Anaheim Ducks,2022/01/09vs DET,1,0,0,2,0,0,1,3,3,50.0,75.0,50.0,75.0,27.0,36.0,48.3
